artist,hrsplayed,ranking,hrsplayedround
Los Retros,2.432698333,6,2.43
clipping.,2.4295325,7,2.43
Oeil,2.405973611,5,2.41
John Maus,2.348424167,5,2.35
Super Unison,2.344076667,5,2.34
Knox Fortune,2.329563333,4,2.33
Tkay Maidza,2.285608056,4,2.29
Primus,2.273970833,7,2.27
Shinjuku Mad,2.265599444,6,2.27
LCD Soundsystem,2.255676389,7,2.26
Giles Corey,2.252161111,6,2.25
WILLOW,2.249982222,4,2.25
Worn-Tin,2.233881667,4,2.23
Tay-K,2.215808611,5,2.22
Derek Pope,2.208514722,3,2.21
Arms and Sleepers,2.198353056,2,2.2
The Unrighteous Brothers,2.191149722,3,2.19
Rich Brian,2.160355833,4,2.16
Burial,2.159855833,7,2.16
Big Black,2.159713333,7,2.16
Frank Ocean,2.157474444,7,2.16
Ringo Deathstarr,2.153386944,3,2.15
Courtney Barnett,2.128915,3,2.13
*shels,2.115529444,4,2.12
Dayglow,2.114385278,4,2.11
CCFX,2.103279722,3,2.1
Ramirez,2.101376944,4,2.1
Oneohtrix Point Never,2.094821944,2,2.09
blink-182,2.0839025,6,2.08
Liars,2.078752222,6,2.08
Daughters,2.066241111,7,2.07
Freddie Gibbs,2.060667222,7,2.06
RNIE,2.060159722,4,2.06
Lala Lala,2.057919167,4,2.06
Japanese Breakfast,2.051322778,6,2.05
The Voidz,2.048910556,6,2.05
Alice Glass,2.044099722,6,2.04
The Black Keys,2.028497778,6,2.03
Model/Actriz,2.014884444,5,2.01
Makeup And Vanity Set,2.003900278,2,2
Antonio Williams,2.000368333,2,2
Eleventh Dream Day,1.999576944,6,2
Vince Staples,1.998684444,6,2
Girl Band,1.990177222,4,1.99
Mr.Kitty,1.988812778,3,1.99
Flying Lotus,1.974478333,6,1.97
Just Mustard,1.973539167,5,1.97
RATKING,1.968637778,5,1.97
Drew Scott,1.9556275,3,1.96
Lealani,1.952252778,5,1.95
M|O|O|N,1.946134167,5,1.95
JOON,1.944929722,5,1.94
Sematary,1.943173333,5,1.94
Unknown Mortal Orchestra,1.926337222,6,1.93
Provoker,1.9127175,6,1.91
Autolux,1.908568056,6,1.91
Orion,1.898122222,5,1.9
Local H,1.888768333,6,1.89
Deerhunter,1.8646075,6,1.86
Sd Laika,1.862047778,7,1.86
No Vacation,1.858208889,2,1.86
Htiekal,1.851486667,5,1.85
Yo La Tengo,1.8490775,6,1.85
Bladee,1.841297778,5,1.84
Altin Gün,1.831451944,3,1.83
Think Tank,1.825737222,3,1.83
Pale Saints,1.820292778,2,1.82
Wand,1.818555833,3,1.82
Sunbeam Sound Machine,1.800336389,2,1.8
LSD and the Search for God,1.799752778,4,1.8
Anika,1.792129444,6,1.79
Brad Sucks,1.7888475,5,1.79
Explosions In The Sky,1.788695833,5,1.79
Childish Gambino,1.781840556,5,1.78
Black Marble,1.7769975,5,1.78
Modern Bison,1.773178889,4,1.77
Paradis,1.763025833,3,1.76
Elliott Smith,1.754976944,7,1.75
Soulwax,1.754675,3,1.75
tricot,1.743855556,5,1.74
REI AMI,1.733208333,6,1.73
Preoccupations,1.730802778,6,1.73
Big Thief,1.728695,5,1.73
The KVB,1.713436389,4,1.71
Polvo,1.705968611,7,1.71
Panchiko,1.701505278,6,1.7
Iglooghost,1.697431111,4,1.7
Molchat Doma,1.696453889,5,1.7
IDK,1.686363611,5,1.69
Horse Jumper of Love,1.678972222,4,1.68
FRIGS,1.677827222,4,1.68
Ex:Re,1.677733889,6,1.68
Tropical Fuck Storm,1.675840833,6,1.68
Black Sabbath,1.675190278,8,1.68
Enjoy,1.672415,4,1.67
George Clanton,1.667761111,7,1.67
The Orwells,1.664483333,6,1.66
Loverboyrando,1.647524444,3,1.65
